Nom_scientifique,Nom_anglais,Nom_français,photo,Habitat_principal,Habitat_secondaire,LienURL,Lisence,droits,annotation,Type
Recurvirostra avosetta,Pied Avocet,Avocette élégante,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FAvocette%20%C3%A9l%C3%A9gante.jpg?alt=media&token=0a9f9693-8f40-4810-8f7f-c54985734ac5,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAvocette%20%C3%A9l%C3%A9gante.mp3?alt=media&token=6dda0278-0ada-4cef-8b5f-4454cecea8da,https://www.youtube.com/shorts/E8E4LSP22Fk,C,,call
Alopochen aegyptiaca,Egyptian Goose,Ouette d'Égypte,,Milieu agricole,,,,,regarder si interessant,
Pandion haliaetus,Osprey,Balbuzard pêcheur,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBalbuzard%20p%C3%AAcheur.jpg?alt=media&token=78abf91d-4cbf-4d00-8258-63dd543b5f10,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBalbuzard%20p%C3%AAcheur.wav?alt=media&token=a9496831-289a-417f-9361-e1fde1683018,,D,,call
Limosa limosa,Black-tailed Godwit,Barge à queue noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBarge%20%C3%A0%20queue%20noire.jpg?alt=media&token=521b9ca7-39d5-4ff4-bbec-4a86926de21b,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBarge%20%C3%A0%20queue%20noire.mp3?alt=media&token=10daf4ad-b317-4e7d-bfe1-e2014fbbf5cf,,D,,Call
Limosa lapponica,Bar-tailed Godwit,Barge rousse,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBarge%20rousse.jpg?alt=media&token=b779a3d2-d1ff-4447-9529-6374c0270609,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBarge%20rousse.wav?alt=media&token=358782fb-d40a-497a-af0d-2303a3469a71,,D,,call
Loxia curvirostra,Red Crossbill,Bec-croisé des sapins,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBec-crois%C3%A9%20des%20sapins.jpg?alt=media&token=75e03606-5da7-4d08-9611-c8fe20eeadde,Milieu montagnard,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBec-crois%C3%A9%20des%20sapins.wav?alt=media&token=17d6e710-cb51-4492-8b03-4f3feb3a12b6,,D,,song
Scolopax rusticola,Eurasian Woodcock,Bécasse des bois,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FB%C3%A9casse%20des%20bois.jpg?alt=media&token=8eccc3ee-f8ee-42a9-b7ac-9d4574367329,Milieu forestier,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casse%20des%20bois.mp3?alt=media&token=0bbf27c0-7564-439f-903c-1d44f4f73428,https://www.youtube.com/shorts/c0vL0TYVnII,D,,call
Calidris alba,Sanderling,Bécasseau sanderling,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FB%C3%A9casseau%20sanderling.jpg?alt=media&token=4642ea6b-0fd5-409c-84a5-a3a93f9a4fe8,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casseau%20sanderling.wav?alt=media&token=c509c510-6d29-4e80-b6d9-46f76d09d136,,D,,call
Calidris melanotos,Pectoral Sandpiper,Bécasseau tacheté,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FB%C3%A9casseau%20tachet%C3%A9.jpg?alt=media&token=db253fa8-ceb5-4261-97b5-1978c82d3e78,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casseau%20tachet%C3%A9.wav?alt=media&token=b8d42bcd-beef-44ee-a03c-9318c75fbeca,,D,,call
Calidris alpina,Dunlin,Bécasseau variable,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FB%C3%A9casseau%20variable.jpg?alt=media&token=bfb52a9f-f6de-4f42-9ff3-c9ae324864c8,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casseau%20variable.wav?alt=media&token=880d8d15-642a-4123-bbbc-a0c5473a2871,,D,,call
Gallinago gallinago,Common Snipe,Bécassine des marais,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FB%C3%A9cassine%20des%20marais.jpg?alt=media&token=a566e7c3-84ba-4392-b543-0494677a278d,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9cassine%20des%20marais.mp3?alt=media&token=756f27e8-c77a-416c-bedf-51078026d387,,D,,call
Motacilla cinerea,Grey Wagtail,Bergeronnette des ruisseaux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBergeronnette%20des%20ruisseaux.jpg?alt=media&token=72e26c5f-eac1-422b-87ae-2505c8c9de1f,Milieu humide,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBergeronnette%20des%20ruisseaux.wav?alt=media&token=d48ca596-f590-41de-aa9d-da8661ec9ccf,,D,,song
Motacilla alba,White Wagtail,Bergeronnette grise,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBergeronnette%20grise.jpg?alt=media&token=168cc01d-ba7e-4e0f-a72f-e2a76e3f2c0d,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBergeronnette%20grise.mp3?alt=media&token=a3a4a529-fcc4-4b46-aab2-5ccb19a62ac6,,D,,song
Motacilla flava,Western Yellow Wagtail,Bergeronnette printanière,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBergeronnette%20printani%C3%A8re.jpg?alt=media&token=23c0796a-194f-4baf-8457-3c8b5ffbe381,Milieu agricole,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBergeronnette%20printani%C3%A8re.wav?alt=media&token=a0c05047-2e2a-46a1-9de4-6adb5b53b193,,D,,song
Branta ruficollis,Red-breasted Goose,Bernache à cou roux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBernache%20%C3%A0%20cou%20roux.jpg?alt=media&token=2108368a-7132-482b-a14e-e1b3fbe5d3e1,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBernache%20%C3%A0%20cou%20roux.wav?alt=media&token=e6c022d8-0a7e-4a55-9db1-98eeaea629a3,,D,,call
Branta bernicla,Brant Goose,Bernache cravant,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBernache%20cravant.jpg?alt=media&token=93021eb9-6c47-4cc3-bf33-f3aa8664ac7f,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBernache%20cravant.mp3?alt=media&token=49f7a476-93f0-4984-bcc2-37fb23feeee9,,D,,call
Branta canadensis,Canada Goose,Bernache du Canada,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBernache%20du%20Canada.jpg?alt=media&token=db05f1a5-4722-4c07-95f7-8151bd3c1b55,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBernache%20du%20Canada.wav?alt=media&token=678a5098-957c-446c-a8cd-1a9cea2688ef,,D,,call
Tetrax tetrax,Little Bustard,Outarde canepetière,,Milieu agricole,,,,,j'ai pas pas grave,
Branta leucopsis,Barnacle Goose,Bernache nonnette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBernache%20nonnette.jpg?alt=media&token=ebce7c29-f833-423f-8101-09bc97ff8fc3,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBernache%20nonnette.mp3?alt=media&token=8b655e93-7603-4c3d-9f24-c5b85d6991e4,,,,call
Nycticorax nycticorax,Black-crowned Night Heron,Bihoreau gris,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBihoreau%20gris.jpg?alt=media&token=a2612426-44e1-40f3-8c02-0f0f9ddbc06b,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBihoreau%20gris.wav?alt=media&token=cd0170b4-10a5-4302-9a7d-5504b4712c8d,,D,,Call
Ixobrychus minutus,Little Bittern,Blongios nain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBlongios%20nain.jpg?alt=media&token=86bc75a5-d19c-4b74-8e0e-d4917a1bc733,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBlongios%20nain.mp3?alt=media&token=093add2b-5685-4398-b2c0-d50e0f1bc39b,https://youtu.be/d9V505ruoJw,C,,call
Pernis apivorus,European Honey Buzzard,Bondrée apivore,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBondr%C3%A9e%20apivore.jpg?alt=media&token=802a0e33-9013-475b-98a1-43364ab55778,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBondr%C3%A9e%20apivore.mp3?alt=media&token=fffdf1ac-aa69-4b51-a785-30a2e94e4636,,D,,call
Cettia cetti,Cetti's Warbler,Bouscarle de Cetti,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBouscarle%20de%20Cetti.jpg?alt=media&token=dd432749-d116-4644-801b-75adf0d7f81d,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBouscarle%20de%20Cetti%20bis.wav?alt=media&token=84a7844d-25d8-4b61-8801-e9f4c2f2e3b4,,D,,call
Pyrrhula pyrrhula,Eurasian Bullfinch,Bouvreuil pivoine,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBouvreuil%20pivoine.jpg?alt=media&token=872d9337-ec17-4dcf-a96b-4e95897423f8,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBouvreuil%20pivoine.mp3?alt=media&token=33370ea6-010f-4166-9cf5-ff4181217e0a,,D,a verifier,song
Plectrophenax nivalis,Snow Bunting,Bruant des neiges,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBruant%20des%20neiges.jpg?alt=media&token=aec6bf99-ddb8-41d1-949a-68bf4ff29a1f,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20des%20neiges.wav?alt=media&token=87b52676-a1e8-46fb-a4ed-9538e1ed416e,,D,a verifier,song
Emberiza schoeniclus,Common Reed Bunting,Bruant des roseaux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBruant%20des%20roseaux.jpg?alt=media&token=80065e8d-5ba1-49e3-aacd-344d8ad00326,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20des%20roseaux.wav?alt=media&token=663c6efc-6ed3-4754-bb41-f17656b5583c,,D,,song
Anthus cervinus,Red-throated Pipit,Pipit à gorge rousse,,Milieu agricole,,,,,J4AI PAS PAS GRAVE,
Turdus iliacus,Redwing,Grive mauvis,,Milieu agricole,Milieu urbain,,,,a chercher,
Emberiza citrinella,Yellowhammer,Bruant jaune,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBruant%20jaune.jpg?alt=media&token=201d8b3c-9506-4105-a881-2fa5dacd6444,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20jaune.wav?alt=media&token=7a3d5d64-667c-4774-a1c7-5befc4805504,,D,,song
Calcarius lapponicus,Lapland Longspur,Bruant lapon,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBruant%20lapon.jpg?alt=media&token=07efe961-81f6-46e9-b786-e3dfdcbf6f92,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20lapon.wav?alt=media&token=0a688d6f-e1f7-492c-aaf7-2dbcee44f2ba,,D,a verifier,song?
Emberiza hortulana,Ortolan Bunting,Bruant ortolan,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBruant%20ortolan.jpg?alt=media&token=f02e1ff6-0dd7-44c4-b5d2-b59cb6051439,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20ortolan.mp3?alt=media&token=aa52f67d-7239-4476-8ad4-1fd6a71d72aa,https://www.youtube.com/watch?v=FW1uguk6fGI,C,,song
Anthus campestris,Tawny Pipit,Pipit de Godlewski,,Milieu agricole,,,,,J'AI PAS PAS GRAVE,
Emberiza calandra,Corn Bunting,Bruant proyer,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBruant%20proyer.jpg?alt=media&token=8327a6aa-0962-42e0-b838-a2499f88a2e7,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20proyer.wav?alt=media&token=ba901c4d-14f8-46c7-a3b0-594e175382fa,,D,,song
Phylloscopus bonelli,Western Bonelli's Warbler,Pouillot de Bonelli,,Milieu agricole,Milieu forestier,,,,J'AI PAS PAS GRAVE,
Circus pygargus,Montagu's Harrier,"Busard cendré",https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBusard%20cendr%C3%A9.jpg?alt=media&token=d647af7c-fb1a-4071-aa60-2598949cd1ad,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBusard%20cendr%C3%A9.mp3?alt=media&token=1f08e1a3-f864-47a4-adcc-0f5c37ead482,,D,,call
Circus aeruginosus,Western Marsh Harrier,Busard des roseaux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBusard%20des%20roseaux.jpg?alt=media&token=4810946b-9d25-4ed2-b6a1-885647a59c26,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBusard%20des%20roseaux.mp3?alt=media&token=bbca27cf-6cb1-4f83-86ae-9fa23588d013,https://youtu.be/6Q__mTm8778,D,,call
Circus cyaneus,Hen Harrier,Busard Saint-Martin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBusard%20Saint-Martin.jpg?alt=media&token=bdf4768e-687b-47ff-9d25-890805894016,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBusard%20Saint-Martin.mp3?alt=media&token=70093d4e-bcd5-4661-ace9-eae39d4c38c7,,D,,call
Oceanites oceanicus,Wilson's Storm Petrel,Océanite de Wilson,,Milieu agricole,,,,,J'AI PAS PAS GRAVE,
Buteo buteo,Common Buzzard,Buse variable,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FBuse%20variable.jpg?alt=media&token=c317fb98-a1d3-4bf5-86ba-57fc6f8efa9b,Milieu agricole,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBuse%20variable.wav?alt=media&token=6b8564e0-7c93-46c1-8ced-5a51104d2505,,D,amelioer la rapidite du son,call
Botaurus stellaris,Eurasian Bittern,Butor étoilé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FButor%20%C3%A9toil%C3%A9.jpg?alt=media&token=ef8a1dbc-8402-4de5-a370-ff133a853163,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FButor%20%C3%A9toil%C3%A9.wav?alt=media&token=56d4c19b-1e1a-4d6e-bc7f-804cd5249029,,D,on peux trouver mieux,call
Coturnix coturnix,Common Quail,Caille des blés,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCaille%20des%20bl%C3%A9s.jpg?alt=media&token=077c163d-31f2-4db2-9f28-12271725bff5,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCaille%20des%20bl%C3%A9s.mp3?alt=media&token=71765284-be87-43f3-858d-0d577d40b280,,D,,song
Mareca strepera,Gadwall,Canard chipeau,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCanard%20chipeau.jpg?alt=media&token=1bf37533-a646-43fa-b459-6d4b40e3bb4c,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20chipeau.wav?alt=media&token=27d939bf-4a9f-43d1-82d3-02236ba28832,,D,,call male
Hieraaetus pennatus,Booted Eagle,Aigle botté,,Milieu forestier,Milieu agricole,,,,pas de son,
Anas platyrhynchos,Mallard,Canard colvert,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCanard%20colvert.jpg?alt=media&token=a387523b-bea9-4e40-a9fb-d958ab24f176,Milieu humide,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20colvert.wav?alt=media&token=81137aba-d94c-44c2-abed-be4b1cdf81fc,,D,,call
Aix galericulata,Mandarin Duck,Canard mandarin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCanard%20mandarin.jpg?alt=media&token=cfc9c115-a3ac-4815-bde3-12f679393434,Milieu urbain,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20mandarin.wav?alt=media&token=e4c19348-0f56-46bd-9f85-5062ec367d85,,D,,call
Anas acuta,Northern Pintail,Canard pilet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCanard%20pilet.jpg?alt=media&token=4e876181-ca4f-4a47-853a-37ce1ddbdabf,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20pilet.wav?alt=media&token=b2a09b9d-7428-4441-b915-fff9d36bb41f,,D,,call
Mareca penelope,Eurasian Wigeon,Canard siffleur,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCanard%20siffleur.jpg?alt=media&token=20bb4f05-4b60-4821-b433-e2a89e21b6c8,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20siffleur.wav?alt=media&token=5d1c319b-a4d5-4550-8c34-d306ffe1ced2,,D,,call
Spatula clypeata,Northern Shoveler,Canard souchet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCanard%20souchet.jpg?alt=media&token=b95c2bf8-f110-4483-bad6-c084d5a6b13c,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20souchet.wav?alt=media&token=017ee880-6687-4e2a-a8ca-dadddade93f3,,D,,call
Carduelis carduelis,European Goldfinch,Chardonneret élégant,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChardonneret%20%C3%A9l%C3%A9gant.jpg?alt=media&token=566a3258-1078-415b-be37-d4f4d2a18dc8,Milieu agricole,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChardonneret%20%C3%A9l%C3%A9gant.wav?alt=media&token=12e0f3df-cf38-4438-a40f-a8d62711a11c,,D,,song
Tringa nebularia,Common Greenshank,Chevalier aboyeur,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChevalier%20aboyeur.jpg?alt=media&token=34166dad-ef23-4e90-afd7-0cd68ff2d431,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20aboyeur.mp3?alt=media&token=8ead3cd8-1e6c-4eba-9038-e2c32c242c8a,,D,,call
Tringa erythropus,Spotted Redshank,Chevalier arlequin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChevalier%20arlequin.jpg?alt=media&token=f6ada3b8-aaba-4376-80a5-e5cdfc7f4e64,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20arlequin.mp3?alt=media&token=3ccda9bc-5137-46d2-a544-7f1fa9050d44,,D,,call
