Nom_scientifique,Nom_anglais,Nom_français,Audio_URL,Type,droits,Lisence,annotation,Habitat_principal,Habitat_secondaire
Buteo buteo,Common Buzzard,Buse variable,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBuse%20variable.wav?alt=media&token=43f5724b-18ae-4bbe-8897-f8f2fca239ec,call,D,,amelioer la rapidite du son,Milieu agricole,Milieu forestier
Elanus caeruleus,Black-winged Kite,Élanion blanc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89lanion%20blanc.mp3?alt=media&token=76fd76e1-75a7-4076-80d8-83f2aefa2148,Call,D,,bizarre,Milieu agricole,Milieu forestier
Caprimulgus europaeus,European Nightjar,Engoulevent d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FEngoulevent%20d'Europe.wav?alt=media&token=572d85e0-c280-42c1-8829-0c074b90bddd,song,D,,,Milieu agricole,Milieu forestier
Phasianus colchicus,Common Pheasant,Faisan de Colchide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaisan%20de%20Colchide.wav?alt=media&token=4ba33668-4c71-424d-88e2-562a3dba9356,call,D,,,Milieu agricole,Milieu forestier
Milvus migrans,Black Kite,Milan noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20noire.wav?alt=media&token=de90b0e5-dba4-4d6f-83b5-592d5a1f1f06,Alarm Calls,D,,,Milieu agricole,Milieu forestier
Fringilla coelebs,Common Chaffinch,Pinson des arbres,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPinson%20des%20arbres.mp3?alt=media&token=e7eda18a-caf7-4f96-8913-82bac5607a82,song,D,,,Milieu agricole,Milieu forestier
Prunella collaris,Alpine Accentor,Accenteur alpin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAccenteur%20alpin.mp3?alt=media&token=d312b464-3ce0-4fb6-a227-47e69aca07bb,,,,,Milieu montagnard,Milieu forestier
Bubo bubo,Eurasian Eagle-Owl,Hibou grand-duc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHibou%20grand-duc.mp3?alt=media&token=a1f3306a-e490-4360-a4d9-06269766549c,song,D,,demender l'avis d'un expert,Milieu montagnard,Milieu forestier
Poecile montanus,Willow Tit,Mésange boréale,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20bor%C3%A9ale.wav?alt=media&token=d548a377-b2b9-4a09-9fd1-24e1eb8209d3,song,D,,,Milieu montagnard,Milieu forestier
Saxicola rubicola,Saxicola rubicola,Tarier pâtre,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTarier%20p%C3%A2tre.mp3?alt=media&token=86561e97-0d0c-461d-89e8-195ed137fb5f,"call,song",D,,,Milieu montagnard,Milieu forestier
Accipiter nisus,Eurasian Sparrowhawk,Épervier d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89pervier%20d'Europe.wav?alt=media&token=1428cc0f-c340-46d8-a2a9-9667f7a044c4,call,D,,,Milieu urbain,Milieu forestier
Sylvia borin,Garden Warbler,Fauvette des jardins,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20des%20jardins.wav?alt=media&token=ce856208-01c7-4a77-81c1-5f1ed521e4de,song,D,,,Milieu urbain,Milieu forestier
Curruca melanocephala,Sardinian Warbler,Fauvette mélanocéphale,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20m%C3%A9lanoc%C3%A9phale.wav?alt=media&token=e9d78ce7-5560-4876-8da2-ac1bb8314bac,song,D,,,Milieu urbain,Milieu forestier
Turdus merula,Common Blackbird,Merle noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMerle%20noir.mp3?alt=media&token=1466915e-96d3-47af-9368-5d6752721316,song,D,,,Milieu urbain,Milieu forestier
Aegithalos caudatus,Long-tailed Tit,Mésange à longue queue,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20%C3%A0%20longue%20queue.wav?alt=media&token=7d322541-ba22-4fbf-b21d-c6c6cef7d316,song,D,,,Milieu urbain,Milieu forestier
Cyanistes caeruleus,Eurasian Blue Tit,Mésange bleue,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20bleue.mp3?alt=media&token=540d754c-714a-45f6-bc0d-75e7424fe56c,song,D,,,Milieu urbain,Milieu forestier
Parus major,Great Tit,Mésange charbonnière,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20charbonni%C3%A8re.wav?alt=media&token=ef866eab-0dd7-42ae-b6ef-e8e3a7987620,song,D,,,Milieu urbain,Milieu forestier
Columba palumbus,Common Wood Pigeon,Pigeon ramier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPigeon%20ramier.wav?alt=media&token=9e797f30-34b9-481d-bae1-4f58f33c2612,song,D,,,Milieu urbain,Milieu forestier
Phylloscopus proregulus,Pallas's Leaf Warbler,Pouillot de Pallas,,,,,J4AI PAS PAS GRAVE,Milieu urbain,Milieu forestier
Phylloscopus sibilatrix,Wood Warbler,Pouillot siffleur,,,,,J'AI PAS PAS GRAVE,Milieu urbain,Milieu forestier
Luscinia megarhynchos,Common Nightingale,Rossignol philomèle,,call,D,,,Milieu urbain,Milieu forestier
Serinus serinus,European Serin,Serin cini,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSerin%20cini.mp3?alt=media&token=9f49391e-c083-4e5e-b83f-30687e3b5515,song,D,,,Milieu urbain,Milieu forestier
Streptopelia turtur,European Turtle Dove,Tourterelle des bois,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTourterelle%20des%20bois.mp3?alt=media&token=79f2e914-fe9d-40c5-8580-9d7cb64ec9322,song,D,,peut monter le son,Milieu urbain,Milieu forestier
Oenanthe oenanthe,Northern Wheatear,Traquet motteux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTraquet%20motteux.mp3?alt=media&token=d2294e11-55f1-413a-9233-2e26e19c4c7e,song,C,https://www.youtube.com/shorts/_8j664uE6Mg,,Milieu urbain,Milieu forestier
Chloris chloris,European Greenfinch,Verdier d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FVerdier%20d'Europe.wav?alt=media&token=c2f72688-ce9c-4af4-8f93-73501fe43d22,song,D,,,Milieu urbain,Milieu forestier
Motacilla flava,Western Yellow Wagtail,Bergeronnette printanière,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBergeronnette%20printani%C3%A8re.wav?alt=media&token=28efa96e-da31-41ec-96eb-87cd3b225f58,song,D,,,Milieu agricole,Milieu humide
Curruca curruca,Lesser Whitethroat,Fauvette babillarde,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20babillarde.wav?alt=media&token=0cd60a89-4729-4ea4-85cc-f86a908b7df9,song?,D,,a verifier et a retravailler,Milieu agricole,Milieu humide
Bubulcus ibis,Western Cattle Egret,Héron garde-bœufs,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FH%C3%A9ron%20garde-b%C5%93ufs.wav?alt=media&token=c3620f2d-d156-46b8-80bf-10eb5b895f31,call,D,,,Milieu agricole,Milieu humide
Pluvialis squatarola,Grey Plover,Pluvier argenté,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20argent%C3%A9.wav?alt=media&token=b900031c-debd-4962-bbfb-74b98fc96901,call,D,,,Milieu agricole,Milieu humide
Scolopax rusticola,Eurasian Woodcock,Bécasse des bois,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casse%20des%20bois.mp3?alt=media&token=8836ac67-13dd-4307-be67-60ba5182fa57,call,D,https://www.youtube.com/shorts/c0vL0TYVnII,,Milieu forestier,Milieu humide
Poecile palustris,Marsh Tit,Mésange nonnette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20nonnette.wav?alt=media&token=f5104d18-3533-431f-9a58-259979c9dbd9,song/call,D,,,Milieu forestier,Milieu humide
Regulus regulus,Goldcrest,Roitelet huppé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRoitelet%20hupp%C3%A9.wav?alt=media&token=615abdac-f1b0-45a3-a930-f175dcca5c25,song,D,,,Milieu forestier,Milieu humide
Falco subbuteo,Eurasian Hobby,Faucon hobereau,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaucon%20hobereau.mp3?alt=media&token=04b4aaa0-c483-4553-bb7f-1aca87216e6f,call,D,,,Milieu humide,Milieu humide
Recurvirostra avosetta,Pied Avocet,Avocette élégante,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAvocette%20%C3%A9l%C3%A9gante.mp3?alt=media&token=1a2c921a-b538-4e63-8ea7-ff1dff3729c8,call,C,https://www.youtube.com/shorts/E8E4LSP22Fk,,Milieu littoral,Milieu humide
Limosa limosa,Black-tailed Godwit,Barge à queue noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBarge%20%C3%A0%20queue%20noire.mp3?alt=media&token=43bb4bf9-96cb-4d88-82db-78f82ee9c3a3,Call,D,,,Milieu littoral,Milieu humide
Limosa lapponica,Bar-tailed Godwit,Barge rousse,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBarge%20rousse.wav?alt=media&token=0a8c7cfd-1f7a-4744-b195-2b0921d1413d,call,D,,,Milieu littoral,Milieu humide
Calidris canutus,Red Knot,Bécasseau maubèche,,,,,J4AI PAS PAS GRAVE,Milieu littoral,Milieu humide
Calidris alba,Sanderling,Bécasseau sanderling,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casseau%20sanderling.wav?alt=media&token=7a2814eb-4447-4e0c-ad10-bf9396a7860d,call,D,,,Milieu littoral,Milieu humide
Calidris alpina,Dunlin,Bécasseau variable,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casseau%20variable.wav?alt=media&token=3d10d074-8e50-4070-afb0-d88c93ff0e0a,call,D,,,Milieu littoral,Milieu humide
Plectrophenax nivalis,Snow Bunting,Bruant des neiges,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20des%20neiges.wav?alt=media&token=24596ba2-fc28-43df-a76a-7a0676d5774b,song,D,,a verifier,Milieu littoral,Milieu humide
Tringa nebularia,Common Greenshank,Chevalier aboyeur,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20aboyeur.mp3?alt=media&token=6cb1d5dc-2a51-4b51-9962-d6a4b5959236,call,D,,,Milieu littoral,Milieu humide
Tringa erythropus,Spotted Redshank,Chevalier arlequin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20arlequin.mp3?alt=media&token=b433ad3a-fd01-40f3-9787-8814420d2316,call,D,,,Milieu littoral,Milieu humide
Tringa totanus,Common Redshank,Chevalier gambette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20gambette.wav?alt=media&token=3e535126-4bf6-4e31-a6be-6c335ca0c7de,song,D,,,Milieu littoral,Milieu humide
Actitis hypoleucos,Common Sandpiper,Chevalier guignette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20guignette.wav?alt=media&token=d9e0e1e5-9dc7-49a5-91fc-b107eea7272b,call,D,,,Milieu littoral,Milieu humide
Numenius phaeopus,Eurasian Whimbrel,Courlis corlieu,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCourlis%20corlieu.wav?alt=media&token=8287b6b7-5a24-41f1-8428-a38bd2a93a9e,call,D,,a verifie mais vraiment possible,Milieu littoral,Milieu humide
Himantopus himantopus,Black-winged Stilt,Échasse blanche,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89chasse%20blanche.wav?alt=media&token=6a4c90b0-505e-4764-b89a-174744a73398,call,D,,,Milieu littoral,Milieu humide
Larus fuscus,Lesser Black-backed Gull,Goéland brun,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20brun.wav?alt=media&token=d708a152-2d4b-439d-8051-10e7417d31ef,call,D,,pas trop interessant ressemble au goeland argenté et leucophée,Milieu littoral,Milieu humide
Larus marinus,Great Black-backed Gull,Goéland marin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20marin.wav?alt=media&token=91b05a6b-9e3a-4d5f-ab0e-0f15b713914b,call,D,,,Milieu littoral,Milieu humide
Haematopus ostralegus,Eurasian Oystercatcher,Huîtrier pie,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHu%C3%AEtrier%20pie.wav?alt=media&token=7b2c4801-7c48-4a27-bee1-5e238652fc37,call,D,,,Milieu littoral,Milieu humide
Ichthyaetus melanocephalus,Mediterranean Gull,Mouette mélanocéphale,,,,,J4AI PAS PAS GRAVE,Milieu littoral,Milieu humide
